node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
  N_J=2 n= 8 p=0.562341  | BER 0.1458 cnn 0.375 en 0.012 suite 0.385 JSR -10.5 dB
  N_J=2 n=16 p=0.562341  | BER 0.1545 cnn 0.438 en 0.008 suite 0.445 JSR -7.8 dB
  N_J=2 n=32 p=0.562341  | BER 0.1787 cnn 0.566 en 0.016 suite 0.580 JSR -4.6 dB
  N_J=2 n=52 p=0.562341  | BER 0.2092 cnn 0.777 en 0.043 suite 0.801 JSR -2.5 dB
  N_J=2 n= 1 p=1         | BER 0.1331 cnn 0.301 en 0.014 suite 0.312 JSR -17.3 dB
  N_J=2 n= 2 p=1         | BER 0.1291 cnn 0.279 en 0.025 suite 0.305 JSR -14.6 dB
  N_J=2 n= 4 p=1         | BER 0.1415 cnn 0.320 en 0.016 suite 0.336 JSR -11.0 dB
  N_J=2 n= 8 p=1         | BER 0.1549 cnn 0.422 en 0.018 suite 0.439 JSR -8.0 dB
  N_J=2 n=16 p=1         | BER 0.1705 cnn 0.574 en 0.033 suite 0.604 JSR -5.2 dB
  N_J=2 n=32 p=1         | BER 0.2031 cnn 0.773 en 0.045 suite 0.793 JSR -2.3 dB
  N_J=2 n=52 p=1         | BER 0.2396 cnn 0.895 en 0.127 suite 0.926 JSR -0.2 dB
  N_J=2 n= 1 p=1.77828   | BER 0.1288 cnn 0.311 en 0.010 suite 0.320 JSR -14.7 dB
  N_J=2 n= 2 p=1.77828   | BER 0.1386 cnn 0.328 en 0.004 suite 0.332 JSR -11.6 dB
  N_J=2 n= 4 p=1.77828   | BER 0.1398 cnn 0.408 en 0.020 suite 0.426 JSR -8.7 dB
  N_J=2 n= 8 p=1.77828   | BER 0.1607 cnn 0.518 en 0.029 suite 0.543 JSR -5.6 dB
  N_J=2 n=16 p=1.77828   | BER 0.1872 cnn 0.723 en 0.029 suite 0.734 JSR -2.7 dB
  N_J=2 n=32 p=1.77828   | BER 0.2353 cnn 0.885 en 0.145 suite 0.906 JSR +0.2 dB
  N_J=2 n=52 p=1.77828   | BER 0.2842 cnn 0.975 en 0.422 suite 0.982 JSR +2.5 dB
  N_J=2 n= 1 p=3.16228   | BER 0.1313 cnn 0.316 en 0.020 suite 0.332 JSR -12.3 dB
  N_J=2 n= 2 p=3.16228   | BER 0.1408 cnn 0.395 en 0.025 suite 0.418 JSR -9.2 dB
  N_J=2 n= 4 p=3.16228   | BER 0.1538 cnn 0.486 en 0.020 suite 0.504 JSR -6.1 dB
  N_J=2 n= 8 p=3.16228   | BER 0.1725 cnn 0.666 en 0.037 suite 0.693 JSR -3.2 dB
  N_J=2 n=16 p=3.16228   | BER 0.2070 cnn 0.875 en 0.109 suite 0.891 JSR -0.2 dB
  N_J=2 n=32 p=3.16228   | BER 0.2669 cnn 0.971 en 0.467 suite 0.982 JSR +2.7 dB
  N_J=2 n=52 p=3.16228   | BER 0.3273 cnn 0.992 en 0.789 suite 0.998 JSR +5.0 dB
  N_J=2 n= 1 p=5.62341   | BER 0.1373 cnn 0.352 en 0.016 suite 0.367 JSR -9.5 dB
  N_J=2 n= 2 p=5.62341   | BER 0.1413 cnn 0.488 en 0.021 suite 0.502 JSR -6.9 dB
  N_J=2 n= 4 p=5.62341   | BER 0.1527 cnn 0.604 en 0.068 suite 0.656 JSR -3.9 dB
  N_J=2 n= 8 p=5.62341   | BER 0.1843 cnn 0.809 en 0.102 suite 0.838 JSR -0.8 dB
  N_J=2 n=16 p=5.62341   | BER 0.2318 cnn 0.945 en 0.408 suite 0.967 JSR +2.4 dB
  N_J=2 n=32 p=5.62341   | BER 0.3060 cnn 0.994 en 0.854 suite 0.998 JSR +5.4 dB
  N_J=2 n=52 p=5.62341   | BER 0.3665 cnn 1.000 en 0.969 suite 1.000 JSR +7.8 dB
